oa_code,LOAC_supgrp_cd,KMeans_60pca,Queens_SFCM_60kvars,KNN8_SFCM_60kvars,MDT_SFCM_60kvars,Queens_SFCM_60pca,KNN8_SFCM_60pca,MDT_SFCM_60pca,Queens_GCN_167zscores,KNN8_GCN_167zscores,MDT_GCN_167zscores,Queens_GSCN_MeanAgg_167zscores,Queens_GSCN_MeanAgg_60kvars,Queens_GSonly_MeanAgg_167zscores,KNN8_GSCN_AttentionalAgg_167zscores,KNN8_GSCN_MaxPoolingAgg_167zscores,KNN8_GSCN_MaxPoolingAgg_167zscores_RW8,KNN8_GSCN_MaxPoolingAgg_167zscores_RW28,KNN8_GSCN_MeanAgg_167zscores,KNN8_GSCN_MeanAgg_60kvars,KNN8_GSCN_MeanPoolingAgg_167zscores,KNN8_GSonly_MeanAgg_167zscores,KNN8_Att2Vec_167zscores,KNN8_Node2Vec_167zscores,MDT_GSCN_MeanAgg_167zscores,MDT_GSCN_MeanAgg_60kvars,Queens_NAGAE_d1,KNN8_NAGAE_d1,MDT_NAGAE_d1,Queens_NAGAE_d2,KNN8_NAGAE_d2,MDT_NAGAE_d2
E00001105,F,7,4,4,6,0,0,0,3,0,0,5,4,2,1,7,5,7,0,3,1,0,4,2,4,4,0,0,3,1,5,7
E00001106,F,4,4,4,6,0,0,0,3,0,0,5,6,2,1,7,5,5,0,4,1,0,7,6,4,3,0,0,3,1,5,7
E00001107,G,0,0,5,5,7,7,5,5,7,7,6,5,2,3,2,6,0,4,4,3,0,2,4,7,3,6,1,2,1,0,5
E00001108,H,2,6,6,6,6,6,0,1,4,2,0,3,2,4,6,3,5,5,3,4,0,1,2,2,7,0,7,3,4,5,7
E00001109,A,3,7,7,0,7,7,7,5,7,7,6,6,2,2,2,6,3,4,1,3,0,2,4,0,3,6,1,2,1,5,5
E00001110,G,4,5,5,5,5,7,5,5,7,7,6,4,2,2,4,7,4,3,1,3,0,4,5,5,3,5,5,2,1,0,5
E00001111,A,3,0,7,5,3,7,7,6,2,3,0,5,2,2,1,1,2,4,4,2,0,2,4,7,3,6,1,2,5,0,5
E00001112,G,3,5,5,5,7,7,5,6,2,4,0,5,2,2,1,1,2,4,4,3,0,4,4,7,3,6,1,2,1,0,5
E00001113,G,0,0,0,5,3,7,5,5,7,7,0,1,2,2,4,7,4,1,4,3,0,4,4,7,3,6,1,2,5,0,5
E00001114,F,7,5,7,6,7,7,0,2,4,2,0,4,2,2,7,5,7,0,3,1,0,1,2,6,2,0,1,7,1,5,7
E00001115,G,3,0,0,5,3,7,5,6,2,3,0,1,2,2,1,1,2,4,4,2,0,4,5,7,3,5,5,2,5,0,5
E00001116,G,1,0,0,5,3,3,5,5,7,7,6,4,2,3,2,6,3,4,4,3,0,2,4,1,3,5,5,2,5,0,5
E00001117,H,2,6,6,6,6,6,0,1,4,2,0,3,2,4,6,3,2,5,3,4,0,1,2,6,2,0,7,3,4,5,7
E00001118,C,3,6,5,6,6,6,0,1,4,2,0,1,2,4,6,3,5,3,3,4,0,1,1,0,0,4,7,3,4,5,7
E00001119,A,3,7,7,6,7,7,0,6,2,3,0,5,2,6,1,1,4,1,4,2,0,4,4,0,3,6,1,6,1,5,5
E00001120,H,2,5,5,6,6,6,0,1,4,2,4,5,2,6,6,3,5,5,3,4,0,1,2,2,2,4,7,3,4,5,7
E00001121,A,3,7,7,5,7,7,0,6,2,3,0,1,2,6,1,1,3,1,4,2,0,4,1,0,3,6,7,6,1,5,5
E00001122,C,2,5,7,6,6,7,0,1,4,2,0,5,2,2,6,3,5,5,4,4,0,1,2,6,4,0,1,3,4,5,7
E00001123,G,3,5,5,6,7,7,0,6,2,3,0,6,2,3,1,1,2,1,4,3,0,4,4,1,3,6,1,6,1,5,5
E00001124,C,2,5,5,6,7,6,0,1,4,2,0,5,2,2,6,3,5,5,3,4,0,1,2,2,2,4,7,3,4,5,7
E00001125,H,2,6,6,6,6,6,0,1,4,2,4,5,2,2,6,3,4,5,3,4,0,1,2,0,2,4,7,3,4,5,7
E00001126,A,3,7,5,5,7,7,7,6,2,7,0,1,2,6,1,1,5,1,4,2,0,4,4,0,3,6,7,6,4,5,5
E00001127,C,3,5,5,6,7,7,0,6,2,0,0,5,2,6,1,1,6,1,4,2,0,4,1,7,3,0,7,7,1,5,7
E00001128,C,4,5,5,5,7,7,0,1,4,0,0,5,2,2,4,7,4,3,4,7,0,4,5,5,3,0,7,3,1,5,7
E00001129,G,3,5,5,5,7,7,0,5,2,3,0,5,2,6,1,1,2,1,4,3,0,4,5,0,3,0,7,6,1,5,5
E00001130,C,2,5,5,5,7,7,0,6,4,4,4,5,2,2,4,7,4,5,4,7,0,4,5,0,3,0,7,3,1,5,7
E00001131,C,2,5,5,6,6,6,0,1,4,2,4,5,2,2,6,3,5,5,3,4,0,1,2,0,5,0,7,3,4,5,7
E00001132,F,2,6,4,6,6,6,0,1,4,2,0,4,2,2,6,3,5,5,3,1,0,1,2,4,2,4,7,3,4,5,7
E00001133,C,3,5,5,5,6,6,0,1,4,2,0,4,2,2,1,1,2,5,4,3,0,4,2,7,3,4,7,3,4,5,7
E00001134,H,2,4,6,6,6,6,0,1,4,2,0,1,2,4,6,3,5,5,3,4,0,1,2,2,2,4,7,3,4,5,7
E00001135,H,2,4,4,6,0,0,0,1,4,2,0,1,2,2,6,6,5,5,3,1,0,1,2,6,1,0,0,3,1,5,7
E00001136,C,2,5,5,5,0,6,0,1,4,2,0,5,2,2,6,3,5,5,7,1,0,1,2,6,7,0,7,3,1,5,7
E00001137,C,3,5,5,5,7,6,0,1,4,2,4,5,2,6,7,5,7,5,4,2,0,4,2,7,3,0,7,7,1,5,7
E00001138,C,2,5,5,5,6,6,0,5,4,2,0,5,2,2,6,3,5,5,3,4,0,1,2,6,5,0,7,3,1,5,7
E00001139,H,2,5,4,6,6,0,0,1,4,0,0,5,2,2,6,3,7,5,3,4,0,1,2,0,2,0,0,3,1,5,7
E00001140,C,2,5,5,5,6,6,0,1,4,2,4,4,2,2,6,3,5,5,4,4,0,1,2,6,2,4,7,3,4,5,7
E00001141,G,4,5,5,5,0,0,7,1,4,2,0,4,2,2,1,1,2,3,5,3,0,4,5,4,3,0,0,7,1,5,5
E00001142,C,3,5,5,6,0,6,0,1,4,5,0,6,2,2,6,3,1,5,2,1,0,4,2,6,1,0,7,7,1,5,7
E00001143,C,3,4,4,5,0,0,0,1,4,2,0,5,2,2,7,5,7,0,4,3,0,4,5,7,3,0,0,7,1,5,7
E00001144,G,3,4,4,5,0,0,0,1,4,2,5,6,2,2,7,5,7,0,4,3,0,4,2,7,3,0,0,7,1,5,7
E00001145,H,2,4,4,6,6,6,0,1,4,2,0,3,2,2,6,3,2,5,3,1,0,1,5,6,2,0,7,3,1,5,7
E00001146,H,2,6,6,6,6,6,0,1,4,2,0,5,2,2,6,3,3,5,3,4,0,1,2,2,1,4,7,3,1,5,5
E00001147,C,2,5,5,5,6,6,0,1,4,2,4,4,2,2,6,3,5,5,4,4,0,4,5,0,3,0,1,3,1,5,7
E00001148,C,2,5,5,5,6,6,0,1,4,2,0,5,2,2,6,3,5,5,3,4,0,4,5,0,3,0,1,3,1,5,5
E00001149,F,7,4,4,6,0,0,0,1,4,2,0,4,2,2,7,5,7,0,3,1,0,1,2,6,1,0,0,7,1,5,7
E00001150,H,2,5,5,5,0,0,0,1,4,2,0,3,2,2,6,3,5,5,3,4,0,1,2,2,0,0,1,3,1,5,7
E00001151,C,2,5,5,5,7,7,0,1,4,2,0,4,2,2,6,3,5,5,3,4,0,1,2,0,4,0,1,7,1,5,5
E00001152,F,2,4,4,6,0,7,0,1,4,7,0,4,2,2,6,3,5,5,3,1,0,1,2,6,1,0,1,3,1,5,7
E00001153,C,2,5,5,5,0,0,0,1,4,2,0,5,2,2,6,3,5,5,3,4,0,1,2,6,1,0,1,3,1,5,7
E00001154,C,2,5,5,5,7,7,5,1,4,2,4,5,2,2,6,3,2,3,3,7,0,1,2,0,3,3,5,7,1,5,5
E00001155,F,7,4,4,6,0,0,0,1,4,2,5,4,2,1,7,5,4,0,4,1,0,5,2,4,2,0,0,3,1,5,7
E00001156,B,1,4,4,6,6,0,0,1,4,2,5,2,2,3,1,1,2,7,4,3,0,2,7,7,0,0,0,6,1,5,3
E00001157,F,7,4,4,6,0,0,0,3,0,0,5,0,2,1,7,5,3,0,6,1,0,0,2,4,1,0,5,3,1,5,7
E00001158,G,4,0,0,5,3,5,3,5,7,7,3,6,2,3,4,7,4,3,4,3,0,4,5,1,3,5,5,6,1,5,3
